undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
0.66500002,ZAF,SubSaharian,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,
0.479,AFG,SouthAsia,1282.64,29.82500076293945,8.100000381469727,,3.780280113220215,48.75032043457031
0.44999999,GMB,SubSaharian,1601.88,,7.699999809265137,4.276580810546875,2.767709970474243,
0.79400003,URY,LatAm,12804.84,3.453999996185303,4.400000095367432,2.903504610061646,4.356939792633057,76.34809875488281
0.71799999,DOM,LatAm,10376.63,,7.599999904632568,2.636394500732422,,65.45761108398438
0.39899999,BFA,SubSaharian,1095.96,16.5,6.900000095367432,2.868712186813355,4.60476016998291,26.4928092956543
0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,1.899999976158142,3.535049200057983,4.960380077362061,94.32984161376952
0.63700002,FSM,Pacific,2624.05,0.1019999980926514,9.0,,12.46774959564209,
0.72899997,JAM,Caribbean,4668.77,2.799000024795532,7.800000190734863,3.711759328842163,6.024670124053955,73.51493835449219
0.73799998,THA,SouthEastAsia,9295.5703,68.65699768066406,4.099999904632568,3.44985032081604,4.128870010375977,83.64586639404297
0.85500002,QAT,NorthAfrica,104049.44,2.045000076293945,3.099999904632568,5.820522308349609,3.607189893722534,72.4646224975586
0.62300003,HND,LatAm,3303.1399,,6.900000095367432,3.180157661437988,5.86775016784668,49.25936126708984
0.88099998,ITA,WesternDem,32931.672,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376
0.74699998,BIH,EastEurope,8507.6504,3.871000051498413,5.5,2.355769157409668,,
0.69700003,UZB,EastEurope,7370.7202,29.74600028991699,6.300000190734863,,,92.20738220214844
0.91299999,NZL,WesternDem,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019533
0.43099999,SLE,SubSaharian,979.95001,6.23199987411499,8.399999618530273,2.986086368560791,2.661669969558716,
0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,3.099999904632568,2.909875631332398,4.599870204925537,
0.69800001,BWA,SubSaharian,12770.73,,5.099999904632568,3.523580312728882,,
0.75800002,MEX,LatAm,13609.42,119.7129974365234,5.800000190734863,2.814059019088745,5.313479900360107,67.40973663330078
0.671,BOL,LatAm,4023.8701,10.07800006866455,6.400000095367432,3.348756313323975,7.285459995269775,76.53546142578125
0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672
0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.299999952316284,5.859115123748779,7.168099880218506,94.00318145751952
0.72399998,DMA,Caribbean,12613.72,,,,,86.32093048095703
0.48800001,SDN,SubSaharian,,,8.800000190734863,,,
0.67799997,SLV,LatAm,332.26999,,6.900000095367432,3.804579257965088,3.448570013046265,70.17172241210938
0.57499999,BGD,SouthAsia,1796.64,154.6950073242188,7.5,3.293149709701538,1.957260012626648,57.23989868164063
0.421,GNB,SubSaharian,961.26001,,8.5,,2.173130035400391,
0.82800001,LVA,EastEurope,16583.67,2.000999927520752,4.400000095367432,3.764238119125366,5.285240173339844,94.276611328125
0.79299998,KAZ,EastEurope,14098.88,17.42200088500977,3.599999904632568,3.581974983215332,2.787499904632568,95.94628143310548
0.55299997,SYR,NorthAfrica,4284.4199,,7.400000095367432,3.24616551399231,,46.6161994934082
0.79000002,BHS,Caribbean,21672.029,0.3560000061988831,5.0,,,
0.90799999,GBR,WesternDem,34791.051,64.59700012207031,2.099999904632568,4.633322238922119,5.734489917755127,98.2799835205078
0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,,,
0.54100001,SWZ,SubSaharian,4110.0498,1.105999946594238,6.900000095367432,3.79865288734436,7.049990177154541,36.21157836914063
0.76200002,KNA,Caribbean,11237.75,,,,2.784240007400513,82.93193817138672
0.89899999,KOR,EastAsia,33181.891,50.74700164794922,3.5,3.615234136581421,5.052110195159912,96.77686309814452
0.89200002,AUT,WesternDem,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,
0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,5.599999904632568,,4.146959781646729,
0.72299999,TUN,NorthAfrica,6912.2798,,5.5,3.721023797988892,6.250360012054443,
0.414,MOZ,SubSaharian,852.39001,25.73299980163574,7.400000095367432,2.77046012878418,6.483220100402832,19.43997955322266
0.90200001,JPN,EastAsia,36123.77,127.120002746582,2.599999904632568,4.430102348327637,3.591840028762817,99.04267120361328
0.42699999,LBR,SubSaharian,488.26999,,6.599999904632568,3.472222328186035,2.757560014724731,
0.51099998,MDG,SubSaharian,822.62,,6.099999904632568,2.968793392181397,2.082040071487427,31.08041000366211
0.76899999,VEN,LatAm,10513.96,,5.199999809265137,2.640229225158691,,74.78971099853516
0.41800001,ERI,SubSaharian,1007.28,,7.599999904632568,,,28.41555976867676
0.64600003,CPV,SubSaharian,3972.6101,0.5120000243186951,8.600000381469727,3.891948699951172,4.99245023727417,69.1138687133789
0.92400002,SGP,SouthEastAsia,54268.148,5.46999979019165,3.299999952316284,5.797279357910156,2.91579008102417,
0.63700002,NAM,SubSaharian,4521.29,,6.5,3.05289626121521,,
0.86400002,BRN,SouthEastAsia,46103.84,0.4120000004768372,4.599999904632568,4.417221069335938,3.353189945220947,87.03231811523438
0.79799998,BLR,EastEurope,17780.641,9.468000411987305,3.400000095367432,,4.990439891815186,99.46544647216795
0.493,RWA,SubSaharian,1440.39,10.19999980926514,7.5,4.037596225738525,3.797460079193115,27.23918914794922
